input,target
"Remove the ""client-secret"" config value for the OpenID Connect auth provider for the ""cluster-admin"" entry",kubectl config set-credentials cluster-admin --auth-provider=oidc --auth-provider-arg=client-secret-
Update pod 'gateway' with the label 'role' and the value 'backend',kubectl label pods gateway role=backend
"Listen on port 8088 on all addresses, forwarding to 8081 in the pod",kubectl port-forward --address 0.0.0.0 pod/chat-app-pod 8088:8081
"Listen on port 8080 locally, forwarding to 6379 in the pod",kubectl port-forward pod/web-app-pod 8080:6379
Create a deployment named gitlab that runs the postgres image and expose port 8088,kubectl create deployment gitlab --image=postgres --port=8088
Update pod 'backend' with the label 'role' and the value 'backend',kubectl label pods backend role=backend
Return snapshot of previous terminated code-explorer container logs from pod cdn-service-pod,kubectl logs -p -c code-explorer cdn-service-pod
Import environment from a secret,kubectl set env --from=secret/monitoring-credentials-secret deployment/search-engine-deployment
Get output from lunar-launcher from pod email-service-pod,kubectl attach email-service-pod -c lunar-launcher
Create a copy of cdn-service-pod changing the command of rocket-ranger,kubectl debug cdn-service-pod -it --copy-to=debug-image-web --container=rocket-ranger -- sh
Add a taint with key 'workload' on nodes having label environment=production,kubectl taint node -l environment=production  workload=monitoring-node-15:PreferNoSchedule
Copy /tmp/foo from a remote pod to :/tmp/bar locally,kubectl cp velero/task-processor-pod-17:/tmp/foo :/tmp/bar
"Delete pods and services with same names ""web"" and ""proxy""","kubectl delete pod,service web proxy"
"Listen on port 3000 on localhost and selected IP, forwarding to 8000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/web-app-pod 3000:8000"
Describe a pod,kubectl describe pods/message-broker
Create a job with a command,kubectl create job indexing --image=mongo -- mongo --version
"Listen on port 8000 on localhost and selected IP, forwarding to 5000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/security-service-pod 8000:5000"
Set custom TLS server name to use for validation for the kube-cluster-2 cluster entry,kubectl config set-cluster kube-cluster-2 --tls-server-name=data-cluster
"Listen on port 8000 on localhost and selected IP, forwarding to 6379 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/analytics-pod 8000:6379"
Set deployment load-balancer-deployment's service account to fluentd,kubectl set serviceaccount deployment load-balancer-deployment fluentd
Set deployment database-deployment's service account to kube-proxy,kubectl set serviceaccount deployment database-deployment kube-proxy
Deny CSR 'csr-abc123',kubectl certificate deny csr-abc123
Start a python pod and let the container expose port 5001,kubectl run hazelcast --image=python --port=5001
Display only the most recent 5 lines of output in pod proxy-server-pod,kubectl logs --tail=5 proxy-server-pod
"Listen on ports 8080 and 6000 locally, forwarding data to/from ports 5000 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/api-server-deployment 8080 5000
"Listen on a random port locally, forwarding to 6379 in the pod",kubectl port-forward pod/mypod :6379
Set deployment log-aggregator-deployment's service account to jenkins,kubectl set serviceaccount deployment log-aggregator-deployment jenkins
Display only the most recent 20 lines of output in pod proxy-server-pod,kubectl logs --tail=20 proxy-server-pod
Edit the job 'cache-warming-job' in JSON using the v1 API format,kubectl edit job.v1.batch/cache-warming-job -o json
Import specific keys from a config map,kubectl set env --keys=debug_mode --from=configmap/ui-config deployment/user-management-deployment
"Get output from running the 'jenkins --version' command from pod database-pod, using the first container by default",kubectl exec database-pod -- jenkins --version
Create a new config map named app-settings with specified keys instead of file basenames on disk,kubectl create configmap app-settings --from-file=conf=/path/to/properties/file1.txt --from-file=data=/path/to/options/file2.txt
"Listen on ports 9090 and 6000 locally, forwarding data to/from ports 8000 and 6000 in the pod",kubectl port-forward pod/security-service-pod 9090 8000
Update all containers in all replication controllers in the project to have ENV=prod,kubectl set env rc --all API_KEY=your-api-key
"Wait for the pod ""database-pod"" to contain the status condition of type ""Ready""",kubectl wait --for=condition=Ready pod/database-pod
Set the certificate-authority-data field on the cluster-gamma cluster,"kubectl config set clusters.cluster-gamma.certificate-authority-data $(echo ""cert_data_here"" | base64 -i -)"
"Listen on a random port locally, forwarding to 8088 in the pod",kubectl port-forward pod/analytics-pod :8088
"Create a role binding for app-operator, sysadmin, and security-auditors using the foo cluster role",kubectl create rolebinding foo --clusterrole=foo --user=app-operator --user=sysadmin --group=security-auditors
Create a job with a command,kubectl create job batch-processing --image=jenkins -- jenkins --version
"Get output from running the 'mysqld' command from pod security-service-pod, using the first container by default",kubectl exec security-service-pod -- mysqld
Describe one context in your kubeconfig file,kubectl config get-contexts service-account-context
Set the cluster field in the my-context context to prod-cluster,kubectl config set contexts.dev-context.cluster prod-cluster
"Listen on port 3000 on localhost and selected IP, forwarding to 9090 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/api-service-pod 3000:9090"
